Rank	Dataset	cut-off	confidence	sequence number	group number	min alignment length	fasta filename	classification filename
phylum	All	0.542	0.919	11239	17	50	data/unite2024ITS1.unique.fasta	data/unite2024ITS1.unique.classification
species	dikarya_fungi	0.988	0.84	14442	8236	50	data/dikarya_fungi.fasta	data/dikarya_fungi.classification
species	terrestrial_basal_fungi	0.969	0.8275	3659	464	50	data/terrestrial_basal_fungi.fasta	data/terrestrial_basal_fungi.classification
species	zoosporic_basal_fungi	0.97	0.8004	538	174	50	data/zoosporic_basal_fungi.fasta	data/zoosporic_basal_fungi.classification
species	Cytospora	0.986	0.964	216	22	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Fusarium	0.934	0.9714	2257	23	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Tyromyces	0.902	0.9624	56	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Inocybe	0.984	0.8407	1203	387	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Aspergillus	0.985	0.9279	1872	117	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Colletotrichum	0.927	0.9301	1735	26	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Tuber	0.965	0.8781	1279	113	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Thelephora	0.987	0.9074	174	15	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Acremonium	0.964	0.9211	307	39	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Vararia	0.943	0.9526	76	39	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Pyrenophora	0.985	0.9224	178	13	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Coniochaeta	0.987	0.839	133	40	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Erysiphe	0.987	0.8423	671	164	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Diaporthe	0.989	0.9093	554	66	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
